"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"1","1694465","Thorne Nature Experience","School-Age Child Care Center","1241 Ceres Drive","Lafayette","CO","80026","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"Boulder Valley School District",NA,NA,NA,TRUE,FALSE,80,0,0,0,NA,NA,80,0,0,NA
"2","1694743","Thorne Nature Experience Summer Camp Chautauq","School-Age Child Care Center","355 Ponca Place","Boulder","CO","80303","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"Boulder Valley School District",NA,NA,NA,FALSE,FALSE,65,0,0,0,NA,NA,65,0,0,"Thorne Nature Experience"
"3","1700681","Impact Sports","School-Age Child Care Center","ONE SUPERIOR DR UNIT B","SUPERIOR","CO","80027","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"BOULDER VALLEY SCHOOL DISTRICT",NA,NA,NA,FALSE,FALSE,100,0,0,0,NA,NA,100,0,0,NA
"4","1701136","Amanda Vogt","Large Family Child Care Home",NA,"Wellington","CO","80549","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"Poudre School District",1,NA,NA,FALSE,FALSE,8,8,0,0,NA,NA,0,0,0,NA
"5","1702106","EAST LAKE MONTESSORI","Child Care Center","12585 3rd ST","EastLake","CO","80614","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 12",1,NA,NA,FALSE,FALSE,30,NA,NA,NA,0,30,NA,NA,NA,NA
"6","1702648","JCC CAMP SHAI AT GRALAND","School-Age Child Care Center","55 N Clermont ST","Denver","CO","80246","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"Denver Public Schools",NA,NA,NA,FALSE,FALSE,275,0,0,0,NA,NA,275,0,0,NA
"7","1527476","MESA ELEMENTARY SCHOOL","Preschool Program","9100 Lowell BLVD","Westminster","CO","80030","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"Westminster Public Schools",4,2023-07-11,2029-06-30,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"8","1676722","LIGHTWAY AT THE RIDGE","Child Care Center","4340 Harlan ST","Wheat Ridge","CO","80033","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,15,0,5,10,NA,NA,0,0,0,NA
"9","1679384","Denver Child Care Academy","Child Care Center","3145 W Florida BLVD","Denver","CO","80219","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER PUBLIC SCHOOLS",4,2024-04-30,2027-09-30,TRUE,TRUE,93,0,18,30,0,45,0,0,0,NA
"10","1696651","TINY HEART ACADEMY","Child Care Center","12755 W Cedar DR","Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",2,2025-09-10,2028-09-10,TRUE,FALSE,79,0,21,32,26,0,0,0,0,NA
"11","1699440","Kara Glock","Large Family Child Care Home",NA,"Fort Collins","CO","80524","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"12","1704715","KCE Champions LLC at Larkspur PRS","Child Care Center","1103 Perry Park Avenue","Larkspur","CO","80118","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"13","1704833","Castle Rock Elementary BASE","School-Age Child Care Center","1103 Canyon Drive","Castle Rock","CO","80104","Douglas","Douglas County Early Childhood Council","Child Care Innovations",TRUE,"Douglas County School District",NA,NA,NA,TRUE,TRUE,100,0,0,0,NA,NA,100,0,0,NA
"14","1705028","Angelita Maddox","Large Family Child Care Home",NA,"Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"District 6",1,NA,NA,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"15","1706384","Shelley Sanchez","Large Family Child Care Home",NA,"Arvada","CO","80005","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"16","1706855","CLEVER KIDS LEARNING CENTER","Child Care Center","BLDG 64 Denver Federal Center","Denver","CO","80225","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",4,2025-07-10,2029-05-01,FALSE,FALSE,122,0,18,40,64,0,0,0,0,NA
"17","1641212","KEYSTONE SCIENCE SCHOOL","School-Age Child Care Center","1053 Soda Ridge RD","Dillon","CO","80435","Summit","Summit County Early Childhood Learning Council","Early Childhood Options",FALSE,NA,NA,NA,NA,FALSE,FALSE,182,0,0,0,NA,NA,182,0,0,NA
"18","1702990","JACOB ACADEMY","Child Care Center","1139 S Alkire ST","Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County School District",1,NA,NA,TRUE,FALSE,96,0,19,25,52,0,0,0,0,NA
"19","1703216","Revere Lil' Raiders","Child Care Center","500 Main ST","Ovid","CO","80744","Sedgwick","Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",FALSE,NA,1,NA,NA,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"20","1704758","AMAN STEAM ACADEMY","School-Age Child Care Center","3555 N. Pecos St.","Denver","CO","80211","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",NA,NA,NA,FALSE,FALSE,41,0,0,0,NA,NA,41,0,0,"Aman Steam Academy, INC"
"21","1701257","Vanessa Clark","Large Family Child Care Home",NA,"Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,12,NA,NA,NA,0,12,NA,NA,NA,NA
"22","1700899","LITTLE EINSTEIN'S ACADEMY","Child Care Center","3105 W IOWA AVE","DENVER","CO","80219","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"Denver Public Schools",4,2025-06-30,2028-06-30,TRUE,TRUE,75,0,0,22,0,53,0,0,0,NA
"23","1703691","Lacy Fraire","Experienced Family Child Care Home",NA,"Henderson","CO","80640","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"BRIGHTON 27J",2,2024-02-28,2027-09-30,TRUE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"24","1703767","Clubhouse Academy LLC","Child Care Center","1005 W South 1st St","Johnstown","CO","80534","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District RE-5J (Johnstown and Milliken)",2,2025-05-07,2028-05-07,TRUE,TRUE,30,0,10,10,0,10,0,0,0,"Michelle E Simon"
"25","1702638","ELK CREEK PRESCHOOL","Child Care Center","3304 S Highway 285","Pine","CO","80470","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",4,2024-01-26,2027-09-30,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"26","11269","FEDERAL HEIGHTS ELEMENTARY PRESCHOOL","Preschool Program","2500 W 96th AVE","Denver","CO","80260","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"NORTHGLENN-THORNTON 12",1,NA,NA,FALSE,FALSE,32,NA,NA,NA,32,0,NA,NA,NA,NA
"27","1527820","CHAPMAN PAVILLION - DURANGO PARKS & REC","School-Age Child Care Center","500 Florida Rd","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,NA,NA,NA,NA,TRUE,TRUE,100,0,0,0,NA,NA,100,0,0,"City of Durango"
"28","1564838","The Club @AnimasValley","School-Age Child Care Center","373 Hermosa Meadows RD","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",TRUE,"Durango School District 9-R",NA,NA,NA,TRUE,TRUE,30,0,0,0,NA,NA,30,0,0,NA
"29","1678161","KCE Champions LLC @ Bishop","School-Age Child Care Center","3100 South Elati","Englewood","CO","80110","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"ENGLEWOOD 1",NA,NA,NA,TRUE,TRUE,30,0,0,0,NA,NA,30,0,0,NA
"30","1699406","BVSD SAC Meadowlark K8","School-Age Child Care Center","2300 MEADOW SWEET LN","ERIE","CO","80516","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",TRUE,"BVSD",NA,NA,NA,TRUE,FALSE,60,0,0,0,NA,NA,60,0,0,NA
"31","1700558","KIPP NORTHEAST ELEMENTARY","Child Care Center","4635 WALDEN ST","DENVER","CO","80249","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,4,2025-05-31,2028-05-31,FALSE,FALSE,60,NA,NA,NA,60,0,NA,NA,NA,NA
"32","1701858","BVSD Meadowlark PK-8 Preschool","Child Care Center","2300 Meadow Sweet LN","Erie","CO","80516","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",TRUE,"BVSD",4,2023-01-23,2027-09-30,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"33","1703292","Early Childhood Education Fremont","Preschool Program","5110 El Camino DR","COLORADO SPRINGS","CO","80919","El Paso","Alliance for Kids","Alliance for Kids",TRUE,"Colorado Springs School District 11",1,NA,NA,FALSE,FALSE,32,NA,NA,NA,32,0,NA,NA,NA,NA
"34","1704655","THE LEARNING CENTER PRESCHOOL OF EVERGREEN","Child Care Center","2981 Bergen Peak DR","Evergreen","CO","80439","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,45,NA,NA,NA,45,0,NA,NA,NA,NA
"35","1704770","REUNION ELEMENTARY","School-Age Child Care Center","11021 Landmark DR","Commerce City","CO","80022","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"BRIGHTON 27J",NA,NA,NA,FALSE,FALSE,100,0,0,0,NA,NA,100,0,0,NA
"36","1705089","Kelcey Kuntz","Large Family Child Care Home",NA,"Otis","CO","80743","Washington","Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",FALSE,"Otis R3",2,2023-10-19,2027-09-30,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"37","1705639","YMCA OF METRO DENVER @ IOWA","School-Age Child Care Center","16701 E Iowa AVE","Aurora","CO","80017","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"ADAMS-ARAPAHOE 28J",NA,NA,NA,TRUE,TRUE,60,0,0,0,NA,NA,60,0,0,NA
"38","1705837","FRASSATI CATHOLIC ACADEMY","Child Care Center","3951 Cottonwood Lakes BLVD","Thornton","CO","80241","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 12",1,NA,NA,FALSE,FALSE,103,NA,NA,NA,0,103,NA,NA,NA,NA
"39","1705969","City of Broomfield","School-Age Child Care Center","280 Spader WAY","Broomfield","CO","80020","Broomfield","Broomfield Early Childhood Council","Child Care Innovations",FALSE,"BOULDER VALLEY RE 2",NA,NA,NA,FALSE,FALSE,100,0,0,0,NA,NA,100,0,0,NA
"40","1706943","Aspen Ridge School Inc.","School-Age Child Care Center","705 Austin AVE","Erie","CO","80516","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"St. Vrain Valley School District Erie",NA,NA,NA,FALSE,FALSE,104,0,0,0,NA,NA,104,0,0,NA
"41","1707086","Otero College Child Dev. Svcs. RockyFord A","Child Care Center","101 Meloneer Drive","Rocky Ford","CO","81067","Otero","Early Childhood Council of Bent, Otero and Crowley Counties","Childrens First",FALSE,"R-2",4,2024-07-26,2029-05-31,FALSE,FALSE,30,NA,NA,NA,0,30,NA,NA,NA,"Otero College"
"42","1646569","Sarina Dominquez","Family Child Care Home",NA,"Commerce City","CO","80022","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,NA,1,NA,NA,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"43","1527478","HARRIS PARK ELEMENTARY","Child Care Center","4300 W 75th AVE","Westminster","CO","80030","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"Westminster Public Schools",4,2023-07-11,2029-06-30,FALSE,FALSE,40,NA,NA,NA,0,40,NA,NA,NA,NA
"44","1698755","AMERICAN ACADEMY KINDIEPREP","Child Care Center","10260 TWENTY MILE RD","PARKER","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,FALSE,FALSE,129,NA,NA,NA,129,0,NA,NA,NA,NA
"45","1699750","Heather Belcher","Large Family Child Care Home",NA,"Trinidad","CO","81082","Las Animas","HuLA Early Childhood Council","Childrens First",FALSE,"RE-1",2,2025-01-30,2028-01-30,TRUE,TRUE,12,NA,NA,NA,0,12,NA,NA,NA,NA
"46","1700273","DPS DISCOVERY LINK @ INSPIRE","School-Age Child Care Center","5677 N Galena Street","Denver","CO","80238","Denver","Denver's Early Childhood Council","Denver's ECC",TRUE,NA,NA,NA,NA,TRUE,TRUE,135,0,0,0,NA,NA,135,0,0,NA
"47","1703680","School In The Woods","Child Care Center","4176 E Florida AVE","Denver","CO","80222","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"Denver",5,2025-11-30,2028-11-30,FALSE,FALSE,31,0,0,10,21,0,0,0,0,NA
"48","1704815","Our Lady of Loreto","Child Care Center","18000 E Arapahoe RD","Foxfield","CO","80016","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Cherry Creek",1,NA,NA,FALSE,FALSE,88,NA,NA,NA,0,88,NA,NA,NA,NA
"49","1705113","INNOVATION LEARNING @ AURORA ACADEMY","School-Age Child Care Center","10251 E 1st AVE","Aurora","CO","80010","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"ADAMS-ARAPAHOE 28J",NA,NA,NA,TRUE,TRUE,75,0,0,0,NA,NA,75,0,0,NA
"50","1705532","SHAWSHEEN ELEMENTARY","Preschool Program","4020 W 7th AVE","Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",TRUE,"Greeley District 6",1,NA,NA,FALSE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"51","1705966","RIVERVIEW EARLY CHILDHOOD PROGRAM","Child Care Center","228 Flying M Ranch RD","Glenwood Springs","CO","81601","Garfield","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,NA,4,2024-10-31,2027-10-31,TRUE,TRUE,72,0,8,10,0,54,0,0,0,NA
"52","1706026","Leading Edge at Trevista","Preschool Program","4130 Navajo St","Denver","CO","80221","Denver","Denver's Early Childhood Council","Denver's ECC",TRUE,NA,1,NA,NA,TRUE,TRUE,40,NA,NA,NA,0,40,NA,NA,NA,NA
"53","1706041","27J PRESCHOOL @ SOUTH","Preschool Program","305 S 5th AVE","Brighton","CO","80601","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"BRIGHTON 27J",1,NA,NA,FALSE,FALSE,20,NA,NA,NA,20,0,NA,NA,NA,NA
"54","1706809","Metropolitan Arts Academy","Child Care Center","2341 Sherrelwood DR","Denver","CO","80221","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Westminster Public Schools",4,2023-07-11,2029-06-30,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"55","1706828","NJS KINDER COTTAGE LLC","Child Care Center","400 Alexander LN","Basalt","CO","81621","Pitkin","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",FALSE,NA,1,NA,NA,FALSE,FALSE,30,NA,NA,NA,0,30,NA,NA,NA,NA
"56","1706924","CEDAREDGE ELEMENTARY BELA","Preschool Program","380 N Grand Mesa DR","Cedaredge","CO","81413","Delta","Bright Futures","Bright Futures",TRUE,NA,4,2022-10-31,2025-10-31,TRUE,FALSE,15,NA,NA,NA,15,0,NA,NA,NA,NA
"57","1707887","27J PRESCHOOL @ REUNION","Preschool Program","11021 Landmark DR","Commerce City","CO","80022","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"BRIGHTON 27J",1,NA,NA,FALSE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"58","1708908","ELKHART ELEMENTARY","Preschool Program","1020 Eagle ST","Aurora","CO","80011","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"Aurora public schools",4,2025-04-04,2028-01-31,TRUE,FALSE,20,NA,NA,NA,20,0,NA,NA,NA,NA
"59","1700077","LITTLE EAGLES CHILD DEVELOPMENT CENTER","Child Care Center","4360 Bradley RD","Colorado Springs","CO","80911","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-3",4,2025-12-31,2028-12-31,TRUE,TRUE,61,0,0,15,0,46,0,0,0,"Amie Cinkosky"
"60","1706031","27J PRESCHOOL @ PENNOCK","Preschool Program","3707 Estrella ST","Brighton","CO","80601","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"BRIGHTON 27J",1,NA,NA,FALSE,FALSE,32,NA,NA,NA,32,0,NA,NA,NA,NA
"61","1706524","Olivia Miller","Family Child Care Home",NA,"Wellington","CO","80549","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"Poudre School District",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"62","1708564","KIDS SMART @ STEIN","School-Age Child Care Center","80 S Teller ST","Lakewood","CO","80226","Jefferson","Triad Early Childhood Council","Child Care Innovations",TRUE,"Jefferson County School District",NA,NA,NA,TRUE,TRUE,30,0,0,0,NA,NA,30,0,0,NA
"63","1709000","Sewall Child Development Center","Child Care Center","4800 N Telluride Bldg 5","Denver","CO","80249","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,NA,4,2024-11-15,2029-06-30,TRUE,FALSE,150,0,8,28,114,0,0,0,0,NA
"64","1709822","Sarah Neal","Large Family Child Care Home",NA,"Fort Morgan","CO","80701","Morgan","Morgan County  Partnership for Children and Families","Morgan County Partnership",FALSE,NA,4,2024-08-09,2029-02-28,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
"65","96467","Karen Mendoza","Experienced Family Child Care Home",NA,"Evans","CO","80620","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"District 6",1,NA,NA,FALSE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"66","1690975","Sonya Thomas","Large Family Child Care Home",NA,"Wheat Ridge","CO","80033","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",4,2022-11-30,2027-09-30,TRUE,TRUE,10,10,0,0,NA,NA,0,0,0,NA
"67","1705435","Longs Peak Learning Center","Child Care Center","1444 E 3RD AVE","Longmont","CO","80501","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"St. Vrain",2,2025-05-27,2028-05-27,FALSE,FALSE,33,0,9,24,NA,NA,0,0,0,NA
"68","1705439","Southeast Christian Preschool","Child Care Center","9650 Jordan Rd","Parker","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",TRUE,"Douglas County School District",1,NA,NA,FALSE,FALSE,141,NA,NA,NA,0,141,NA,NA,NA,NA
"69","1707123","The Learning Experience","Child Care Center","189 S 50th AVE","Brighton","CO","80601","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"BRIGHTON 27J",2,2024-07-10,2027-07-10,TRUE,TRUE,185,0,10,34,0,141,0,0,0,NA
"70","1709236","HUNT CENTER CPCD CHILD CARE CENTER","Child Care Center","917 E Moreno AVE","Colorado Springs","CO","80903","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,4,2026-01-30,2026-06-30,TRUE,TRUE,58,0,6,12,40,0,0,0,0,NA
"71","1705404","LITTLE SEEDS ACADEMY","Child Care Center","5939 W 64th AVE","Arvada","CO","80003","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,54,0,10,24,0,20,0,0,0,NA
"72","1706722","Stephanie Barclay","Family Child Care Home",NA,"Loveland","CO","80538","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,2,2025-12-16,2028-12-16,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"73","1687633","Heidi Ruybal","Large Family Child Care Home",NA,"Monte Vista","CO","81144","Rio Grande","Early Childhood Council of the San Luis Valley","ECC SLV",FALSE,"Monte Vista School District",2,2025-09-22,2028-09-22,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"74","1669526","Sarah Embleton","Infant/Toddler Home",NA,"Littleton","CO","80120","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"LITTLETON 6",5,2024-11-30,2027-11-30,TRUE,FALSE,8,8,0,0,NA,NA,0,0,0,NA
"75","1710681","Life Center Learning Academy","Child Care Center","3939 Redwood LN","Pueblo","CO","81005","Pueblo","Pueblo Early Childhood Council","Childrens First",FALSE,"Dist 60",4,2025-09-30,2028-09-30,TRUE,TRUE,65,0,10,0,0,55,0,0,0,NA
"76","1563418","YMCA @ Jewell","School-Age Child Care Center","14601 E Jewell Ave","Aurora","CO","80012","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,NA,NA,NA,NA,TRUE,TRUE,60,0,0,0,NA,NA,60,0,0,"YMCA Metro Denver"
"77","1707670","JillMarie LaCroix","Large Family Child Care Home",NA,"Lafayette","CO","80026","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"BVSD",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"78","1708201","Inas Sawaqed","3 under 18 Months Family Child Care Home",NA,"Westminster","CO","80234","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"ADAMS 12",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"79","1711173","Melanie Trujillo","Family Child Care Home",NA,"Colorado Springs","CO","80923","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-49",2,2025-01-14,2028-01-14,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"80","47603","CROSS BAR X YOUTH RANCH","Resident Camp","2111 County Road 222","Durango","CO","81303","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,NA,NA,NA,NA,FALSE,FALSE,45,0,0,0,NA,NA,0,0,45,NA
"81","47605","COLVIG SILVER CAMPS INC","Resident Camp","9665 Florida RD","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,NA,NA,NA,NA,FALSE,FALSE,210,0,0,0,NA,NA,0,0,210,NA
"82","1559468","Kathleen Lopez","Family Child Care Home",NA,"Ft Collins, CO","CO","80525","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"POUDRE R-1",1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"83","1599708","Harmony School  Christian Early Childhood CTR","Child Care Center","2112 E Harmony Road","Fort Collins","CO","80528","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,FALSE,FALSE,113,NA,NA,NA,0,113,NA,NA,NA,NA
"84","1605435","Shining Stars Learning Center","Child Care Center","6650 Omaha Blvd.","Colorado Springs","CO","80915","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-49",1,NA,NA,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"85","1615960","Apex Park & Recreation","School-Age Child Care Center","13150 W 72ND AVE","Arvada","CO","80005","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",NA,NA,NA,FALSE,FALSE,100,0,0,0,NA,NA,100,0,0,NA
"86","1657494","Katie Kannady","Large Family Child Care Home",NA,"Colorado Springs","CO","80927","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"87","1695358","Avid4 Adventure Camp Blue Sky","Resident Camp","201 Evan Ranch RD","Evergreen","CO","80439","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,NA,NA,NA,NA,FALSE,FALSE,235,0,0,0,NA,NA,0,0,235,NA
"88","1698048","Meredith Rankin","Family Child Care Home",NA,"Castle Rock","CO","80108","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,NA,1,NA,NA,FALSE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"89","1700884","BOOK TRAILS","Resident Camp","60355 COUNTY RD 62","STEAMBOAT SPRINGS","CO","80487","Routt","First Impressions of Routt County","Summit Co CCR&R",FALSE,NA,NA,NA,NA,FALSE,FALSE,32,0,0,0,NA,NA,0,0,32,NA
"90","1701308","BIRD CONSERVANCY OF THE ROCKIES","Resident Camp","2282 CR 87","Jamestown","CO","80455","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,NA,NA,NA,NA,FALSE,FALSE,18,0,0,0,NA,NA,0,0,18,"Bird Conservancy of the Rockies"
"91","1703318","Keystone Science School","Resident Camp","1053 Soda Ridge RD","Dillon","CO","80435","Summit","Summit County Early Childhood Learning Council","Early Childhood Options",FALSE,NA,NA,NA,NA,FALSE,FALSE,150,0,0,0,NA,NA,0,0,150,NA
"92","1709092","Kylee Thompson","Large Family Child Care Home",NA,"Castle Rock","CO","80108","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"93","8068","Field Elementary SACC Program","School-Age Child Care Center","5402 S Sherman Way","Littleton","CO","80122","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Littleton Public Schools",NA,NA,NA,TRUE,TRUE,60,0,0,0,NA,NA,60,0,0,"Littleton Public Schools"
"94","12184","LORI HAUBERT","Family Child Care Home",NA,"Arvada","CO","80007","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"JEFFERSON COUNTY R-1",4,2024-02-29,2027-09-30,TRUE,FALSE,6,6,0,0,NA,NA,0,0,0,NA
"95","18880","Dr. Justina Ford Elementary -SACC Program","School-Age Child Care Center","7300 S Clermont Dr","Centennial","CO","80122","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"Littleton School District 6",NA,NA,NA,TRUE,TRUE,250,0,0,0,NA,NA,250,0,0,"Littleton Public Schools"
"96","21137","Meeker Elementary Preschool","Preschool Program","2221 28th Ave","Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",TRUE,"GREELEY 6",1,NA,NA,FALSE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,"Greeley Evans District 6"
"97","26080","ELISA LUBBERS-LEIALOHA","Large Family Child Care Home",NA,"LA JUNTA","CO","81050","Otero","Early Childhood Council of Bent, Otero and Crowley Counties","Childrens First",FALSE,"R-1",4,2025-09-30,2028-09-30,TRUE,TRUE,12,12,0,0,NA,NA,0,0,0,NA
