"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"3373","44347","CAROLINE KENNEDY","Experienced Family Child Care Home",NA,"Arvada","CO","80004","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",5,2024-02-29,2027-09-30,TRUE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"3374","25450","Barbara Lening","Experienced Family Child Care Home",NA,"Pueblo West","CO","81007","Pueblo","Pueblo Early Childhood Council","Childrens First",FALSE,"PUEBLO COUNTY 70",1,NA,NA,FALSE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"3375","70361","Cheryle Moser","Experienced Family Child Care Home",NA,"Loveland","CO","80537","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,3,2025-06-30,2028-06-30,TRUE,TRUE,9,9,0,0,NA,NA,0,0,0,NA
"3376","94974","Donna Madril","Family Child Care Home",NA,"Pueblo","CO","81004","Pueblo","Pueblo Early Childhood Council","Childrens First",FALSE,NA,2,2023-01-20,2027-09-30,TRUE,TRUE,6,6,0,0,NA,NA,0,0,0,NA
"3377","82867","MCCLAVE PRESCHOOL AND DAY CARE CENTER","Child Care Center","308 LINCOLN AVE","MCCLAVE","CO","81057","Bent","Early Childhood Council of Bent, Otero and Crowley Counties","Childrens First",FALSE,"RE-2",1,NA,NA,TRUE,TRUE,35,NA,NA,NA,0,35,NA,NA,NA,NA
"3378","1526879","Tabatha Fenderbosch","Large Family Child Care Home",NA,"Pueblo West","CO","81007","Pueblo","Pueblo Early Childhood Council","Childrens First",FALSE,"Dist 70",1,NA,NA,FALSE,FALSE,12,NA,NA,NA,0,12,NA,NA,NA,NA
"3379","77853","Lori Petersen","Experienced Family Child Care Home",NA,"Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District 6 (Greeley, Evans)",1,NA,NA,FALSE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"3380","1504739","ROARING FORK SCHOOL DISTRICT - GSES","Child Care Center","915 School ST","Glenwood Springs","CO","81601","Garfield","Rocky Mountain Early Childhood Council","Mountain Valley Developmental Svcs",TRUE,"Roaring Fork School District RE 1",4,2023-11-30,2027-09-30,TRUE,TRUE,64,0,0,10,0,54,0,0,0,NA
"3381","1589258","Summit Preschool","Preschool Program","18201 E Quincy AVE","Aurora","CO","80015","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"CHERRY CREEK 5",4,2020-02-28,2023-02-28,TRUE,FALSE,60,NA,NA,NA,60,0,NA,NA,NA,NA
"3382","47800","EARLY CONNECTIONS @ DAY NURSERY","Child Care Center","104 E Rio Grande","Colorado Springs","CO","80903","El Paso","Alliance for Kids","Alliance for Kids",FALSE,"D-11",4,2025-07-18,2027-09-30,TRUE,TRUE,131,0,0,0,51,0,80,0,0,NA
"3383","83089","SAINT PAUL LUTHERAN PRESCHOOL","Preschool Program","1450 W Hwy 24","Calhan","CO","80808","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,2,2025-04-30,2028-04-30,FALSE,FALSE,15,NA,NA,NA,15,0,NA,NA,NA,NA
"3384","86468","Otero College Child Dev. Svcs. La Junta","Child Care Center","800 Grace AVE","La Junta","CO","81050","Otero","Early Childhood Council of Bent, Otero and Crowley Counties","Childrens First",FALSE,"R4J",4,2024-07-26,2029-05-31,FALSE,FALSE,172,NA,NA,NA,172,0,NA,NA,NA,NA
"3385","87930","EARLY LEARNING CENTER OF OURAY","Child Care Center","400 7th AVE","Ouray","CO","81427","Ouray","Bright Futures","Bright Futures",FALSE,NA,4,2024-11-30,2027-11-30,TRUE,FALSE,15,NA,NA,NA,15,0,NA,NA,NA,NA
"3386","1537611","KINDERCARE LEARNING CENTERS LLC","Child Care Center","5797 Jackpot","Colorado Springs","CO","80922","El Paso","Alliance for Kids","Alliance for Kids",FALSE,NA,4,2024-05-10,2029-04-01,TRUE,TRUE,164,0,0,36,0,128,0,0,0,NA
"3387","1504203","Peyton Elementary Preschool Program","Preschool Program","13550 Bradshaw RD","Peyton","CO","80831","El Paso","Alliance for Kids","Alliance for Kids",TRUE,"Peyton 23JT",4,2025-11-30,2028-11-30,FALSE,FALSE,15,NA,NA,NA,15,0,NA,NA,NA,NA
"3388","4652","Brenda Smith","Experienced Family Child Care Home",NA,"Castle Rock","CO","80104","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",2,2024-07-11,2027-07-11,FALSE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
